Video asset ID,Page name,Publish time,Duration (sec),Views,Likes,Comments,Shares,Reach,Impressions
vid_001,Code Alchemist Labs,2024-01-03 10:00:00,120,4200,315,42,88,3800,9100
vid_002,Code Alchemist Labs,2024-01-05 14:30:00,95,1850,140,18,31,1700,4200
vid_003,Tech Insights Daily,2024-01-06 09:15:00,210,8900,720,96,201,8100,19500
vid_004,Dev Tutorials,2024-01-08 16:00:00,180,3300,250,35,65,3000,7800
vid_005,Code Alchemist Labs,2024-01-10 11:00:00,150,5100,410,55,112,4600,11200
vid_006,Tech Insights Daily,2024-01-11 08:00:00,300,12400,980,145,332,11200,27800
vid_007,Dev Tutorials,2024-01-12 15:00:00,75,2200,170,22,44,2000,5100
vid_008,Python Pros,2024-01-14 10:30:00,240,6800,540,72,155,6200,15300
vid_009,Code Alchemist Labs,2024-01-15 13:00:00,130,3900,298,40,78,3500,8700
vid_010,Tech Insights Daily,2024-01-18 09:00:00,185,9700,780,105,225,8800,21400
vid_011,Dev Tutorials,2024-01-19 14:00:00,60,1500,115,14,28,1380,3400
vid_012,Python Pros,2024-01-20 11:30:00,280,7600,608,82,178,6900,17100
vid_013,Code Alchemist Labs,2024-01-22 10:00:00,100,4400,335,45,92,4000,9800
vid_014,Tech Insights Daily,2024-01-24 08:30:00,225,11200,895,130,298,10100,25000
vid_015,Dev Tutorials,2024-01-25 16:30:00,170,3000,228,30,60,2720,6700
vid_016,Python Pros,2024-01-26 10:00:00,195,5800,465,62,134,5300,13100
vid_017,Code Alchemist Labs,2024-01-28 12:00:00,140,4800,385,52,105,4350,10700
vid_018,Tech Insights Daily,2024-01-30 09:00:00,260,10600,848,122,282,9600,23700
vid_019,Dev Tutorials,2024-02-01 15:00:00,85,2600,198,25,51,2360,5800
vid_020,Python Pros,2024-02-02 10:30:00,310,8400,672,90,195,7600,18800
vid_021,Code Alchemist Labs,2024-02-04 11:00:00,160,5200,416,56,115,4700,11600
vid_022,Tech Insights Daily,2024-02-05 08:00:00,195,9100,728,99,213,8250,20400
vid_023,Dev Tutorials,2024-02-07 14:30:00,130,2900,220,29,58,2630,6500
vid_024,Python Pros,2024-02-09 10:00:00,220,6600,528,70,152,6000,14800
vid_025,Code Alchemist Labs,2024-02-10 13:00:00,175,4600,368,49,100,4180,10300
vid_026,Tech Insights Daily,2024-02-12 09:00:00,290,13100,1048,155,355,11900,29400
vid_027,Dev Tutorials,2024-02-13 15:30:00,95,2400,182,23,47,2180,5400
vid_028,Python Pros,2024-02-15 10:30:00,255,7200,576,77,167,6540,16200
vid_029,Code Alchemist Labs,2024-02-16 12:00:00,120,4100,328,44,90,3720,9200
vid_030,Tech Insights Daily,2024-02-19 08:30:00,240,10800,864,126,290,9800,24200
vid_031,,2024-02-20 14:00:00,150,3500,280,37,75,3180,7850
vid_032,Dev Tutorials,2024-02-21 16:00:00,,1800,136,17,35,1630,4020
vid_033,Python Pros,2024-02-22 10:00:00,270,7900,632,85,184,7180,17800
vid_034,Code Alchemist Labs,2024-02-24 11:30:00,145,4700,376,50,103,4270,10550
vid_035,Tech Insights Daily,2024-02-25 09:00:00,215,10200,816,118,272,9260,22900
vid_036,Dev Tutorials,2024-02-26 15:00:00,110,2700,205,26,53,2450,6050
vid_037,Python Pros,2024-02-28 10:30:00,235,6400,512,68,148,5820,14400
vid_038,Code Alchemist Labs,2024-03-01 12:00:00,155,5000,400,54,110,4540,11220
vid_039,Tech Insights Daily,2024-03-04 08:00:00,270,11800,944,138,317,10720,26500
vid_040,Dev Tutorials,2024-03-05 14:30:00,80,2100,160,20,41,1910,4720
vid_041,Python Pros,2024-03-07 10:00:00,290,8200,656,88,191,7450,18450
vid_042,Code Alchemist Labs,2024-03-08 13:00:00,165,4900,392,53,108,4450,10990
vid_043,Tech Insights Daily,2024-03-11 09:00:00,255,12000,960,141,324,10900,27000
vid_044,Dev Tutorials,2024-03-12 16:00:00,105,2500,190,24,49,2270,5620
vid_045,Python Pros,2024-03-14 10:30:00,245,7000,560,75,163,6360,15720
vid_046,Code Alchemist Labs,2024-03-15 12:00:00,175,5300,424,57,117,4820,11910
vid_047,Tech Insights Daily,2024-03-18 08:30:00,285,13600,1088,160,368,12350,30550
vid_048,Dev Tutorials,2024-03-19 15:00:00,90,2300,175,22,45,2090,5170
vid_049,Python Pros,2024-03-21 10:00:00,260,7400,592,79,172,6730,16650
vid_050,Code Alchemist Labs,2024-03-22 11:30:00,130,4300,344,46,94,3910,9670
